NAME,AUTHOR,REVIEWS,PRICE_SALE,PRICE_REGULAR,DISCOUNT,TIKINOW,RATES
"
                                                Thế Giới Rộng Lớn Lòng Người Chật Hẹp (Tặng Kèm 1 Bookmark )                                                
                                                                                                    ",Dưa Hấu Hạt Tím,(79 nhận xét),61.000đ,92.000đ,-34%,tikinow,100%
"
                                                Càng Kỷ Luật, Càng Tự Do                                                
                                                                                                    ",Ca Tây,(78 nhận xét),73.000đ,109.000đ,-33%,tikinow,100%
"
                                                Đi Trốn (Bìa Mềm)                                                
                                                                                                    ",Bình Ca,(26 nhận xét),88.000đ,110.000đ,-20%,tikinow,100%
"
                                                Mô Hình Hồi Quy Và Khám Phá Khoa Học                                                
                                                                                                    ",Nguyễn Văn Tuấn,(4 nhận xét),127.500đ,150.000đ,-15%,tikinow,100%
"
                                                Thiên Tài Bên Trái, Kẻ Điên Bên Phải                                                
                                                                                                    ",Cao Minh,(1075 nhận xét),97.100đ,145.000đ,-33%,tikinow,90%
"
                                                Dám Bị Ghét                                                
                                                                                                    ",Koga Fumitake,(965 nhận xét),66.800đ,96.000đ,-30%,tikinow,90%
"
                                                Hiểu Về Trái Tim (Tái Bản)                                                
                                                                                                    ",Minh Niệm,(430 nhận xét),109.900đ,138.000đ,-20%,tikinow,90%
"
                                                Đắc Nhân Tâm (Bìa Cứng) - Tái Bản                                                
                                                                                                    ",Dale Carnegie,(653 nhận xét),68.500đ,98.000đ,-30%,tikinow,100%
"
                                                Muôn Kiếp Nhân Sinh (Bìa Cứng)                                                
                                                                                                    ",Nguyên Phong,(366 nhận xét),146.700đ,228.000đ,-36%,tikinow,100%
"
                                                Giao Tiếp Tiếng Anh Thật Dễ Dàng - Easy English Conversation (Tái Bản 2020)                                                
                                                                                                    ",The Windy,(32 nhận xét),128.300đ,198.000đ,-35%,tikinow,100%
"
                                                Khi Mọi Điểm Tựa Đều Mất (Tái Bản 2019)                                                
                                                                                                    ",Marci Shimoff,(153 nhận xét),54.300đ,78.000đ,-30%,tikinow,90%
